,user,tweet_count
0,MtoGaby,1
1,tauruss19a,1
2,KyungSheryll88,1
3,LiveUpdatesEA,1
4,TiniOceane1fan,1
5,jimi1010ali,1
6,BilliLeoma87,1
7,LocalDirectDeal,1
8,Honda,5
9,TandyAnja41,1
10,KennYouuNot,1
11,Lizbethxmarie,1
12,KerriThibodeaux,1
13,lindsey_mc95,1
14,kwemtochukwuuw2,1
15,Jiubra__Buafzo,3
16,speaknoevilk24,1
17,cars740,4
18,cabeasy,1
19,i_neelshah,1
20,lovedeyanil,1
21,RobertObscene,1
22,EsWhatsApp,1
23,LuscaConectados,1
24,asdplayer55,1
25,PGweks,1
26,xoxo_britney_08,1
27,Kezia_Nataly,1
28,CharlottCurt7,1
29,tghjgashfyuejg2,1
30,MarieFernet,1
31,gnews224,1
32,MonicaRoblesVIP,1
33,itzemilyy__,1
34,deaththekjd,1
35,AshleighannG,1
36,OFFbeatPlay,1
37,wikinewstech,1
38,ADifGuy,1
39,CafeConLete,1
40,Hrndrew,1
41,babygirrlb_,1
42,TOXYGENIGGA,1
43,Cat2997,1
44,KITTIEEMEOW,1
45,OzinoMorasky,1
46,jodieflipper,1
47,rshah2611,1
48,ChicosDeSiempre,1
49,rickychavarria1,1
50,BrennerTiffany,1
51,Craftous,1
52,_Niagaraaa___,1
53,Des4Short,1
54,Jauwli__Mionro,1
55,funnyworldnews1,1
56,raquelbernal77,1
57,RodErnestine35,1
58,onlywithlali,1
59,BackoftheCrowd,1
60,EscobarGang,1
61,DelinteTires,1
62,colten1000,1
63,rosemary_mychi,1
64,AutoPap,1
65,MalPincheGenio,1
66,sonia_tura,1
67,VeerleTakino,1
68,iParvesh,1
69,Frxxkie,1
70,Gill_Sorensen,1
71,theylovingsii,1
72,GoldieLookinF,1
73,Spinouille57,1
74,HabIamosDeAmor,1
75,RITACARS,7
76,luigyrider,1
77,Loving_Milsz,1
78,M4rySl4m,1
79,Tvitereja,1
80,WSTWERKING,1
81,SnowmobileFotos,1
82,Whitegirlcacii,1
83,tweet_mit,1
84,chilltopher,1
85,BrunaMatooos,1
86,DonnieGardner2,1
87,shannonhandy,1
88,ShameyKassim,1
89,ReporterJAgar,1
90,FatKeezy,1
91,MiguelHdezGngor,1
92,_lydiaesco,1
93,RosalynWaneta45,1
94,Swea2God,1
95,LuellaYong75,1
96,RuthKristel97,1
97,FaiqZhafri,1
98,kitkat157,1
99,DaniellRogelio4,1
100,SteveWe87289598,1
101,mvrxelam_,1
102,JxnDon,1
103,theo_cieply,1
104,spiralmeme,1
105,EsDHombre,1
106,nblh_x,1
107,CRlME_,1
108,mimihamblett,1
109,purposezxyn,1
110,goodoldsport_,1
111,FcoToscano,1
112,StaceyMerideth4,1
113,_newstech_,2
114,KnoxKB_,1
115,wnoah39,1
116,ManuelGinel,1
117,alizeeemonea,1
118,Yanquier70,1
119,biebersaccustic,1
120,_filthy96,1
121,Qwentinsnv,1
122,quinnccc,1
123,Cleesus,1
124,hkt03,1
125,6CRISTINA3Amaya,1
126,Maliyaatippp,1
127,asdplayer42,1
128,andrebuklaw,1
129,diblacoh,1
130,myrealzayn,1
131,EmiSourceSS9,1
132,knoxee,1
133,HUNTERSrec,1
134,KroshkaDascha,1
135,KCRGTV9,1
136,DanniCobos68,1
137,nadia_latif,1
138,sh_fzs_122,1
139,KevinSotelino,2
140,Stop_calvitie,3
141,FutFrases,1
142,TiernosmsjsES,1
143,EhhMuss,1
144,mffun_news,1
145,AutonomousCaRR,1
146,CarInsuranceDIY,1
147,_kristinaross,1
148,annahesketh6,1
149,onyemachukwuok1,1
150,hawaysfa,1
151,nrlalifahh,1
152,Chimauswung,1
153,taylorrr_godwin,1
154,Gabrielnievesr9,1
155,noirsexy,1
156,76_connor,1
157,kymccullough,1
158,bestimarketing,2
159,Nad_ster,1
160,dominiquejimers,1
161,LinhIvey2,1
162,talitadzt,1
163,MegganRupert31,1
164,letsMACK_out,1
165,AkuNoHanaTweet3,1
166,raccoon_attack,1
167,HasanSafin,1
168,fahrellelouox,1
169,suckkmyunicorn,1
170,zenahisreal,1
171,hotpabanraimas,1
172,Arn0nin0,1
173,sankymetta,4
174,mabravov52,1
175,Mazliza_mazlan,1
176,SeanMooring,1
177,RZ_RW_6E_ZF,1
178,craftybetch,1
179,simonspeichert,1
180,ebelegbulamnwe2,1
181,Ty_Papi,1
182,colincrook,1
183,guyvano,1
184,ininivmis1981,1
185,ainsurayamr,1
186,aquilesevd,1
187,delrue_m,1
188,TDOnline,1
189,ggtechmy,1
190,BexleyRR,1
191,iyo110,1
192,tortaheladaa,1
193,_jackdawkins,1
194,Eglajs,1
195,DCariman,1
196,Voumya__Seipxe,3
197,_funny_humour,1
198,jalloh_kadiatu,2
199,Vladi_Marvin,1
200,JSII_19,1
201,sirkencubin,1
202,GottaLuvLexci_,1
203,Sullarete,1
204,beccabennettx,1
205,duvardo76,1
206,_EdFlores,1
207,BastosPauline,1
208,TopChoiceAwards,1
209,FabienneCASSAGN,1
210,oneovaqueen,1
211,Technieuws,1
212,RobinSport1_,1
213,Kouydo__Raolxi,3
214,IndiaFone,1
215,lilkay1500,1
216,DorineOralee5,1
217,ShilaThora59,1
218,brendinhaamg,1
219,LaelJolynn32,1
220,ainrahmaaaaaaan,1
221,stuhart_rp,1
222,iamBicko,1
223,SomosCeiosas,1
224,KateRichardsonx,1
225,Gomolemo_momo,1
226,NewtonReatha33,1
227,EbayGadgetsAU,1
228,Mary_Ann_Nieto,1
229,infinitybiieber,1
230,LilSmitty_,1
231,18nofa18,1
232,OffToDreamland,1
233,ACUTX,1
234,Lomzi89,2
235,sosuhweet,1
236,NutritionistGal,1
237,mumbeh,1
238,anenechiiweobi2,1
239,caaro_lin,1
240,FriedaCheri88,1
241,AGorgeousSavage,1
242,_ThatVirginGirl,1
243,TristaDeneen18,1
244,garotaziam,1
245,faqsmp7,1
246,ignaciawehbi,1
247,blacq2,1
248,AlesiaTeresita6,1
249,clairedir,1
250,TruckSimDriver,1
251,Pschlarm,1
252,PhyllisLeda96,1
253,jamiealmond4,1
254,doctorlo95,1
255,MSTPros,1
256,CheryllTaryn14,1
257,_clooo_,1
258,Sylvie_Cz,1
259,frontline77,1
260,ErlineXiomara29,1
261,mercedesboiz,2
262,Crudasfrases,1
263,BurkeNelson2,1
264,atrembath,1
265,MyDorkyBieber,1
266,aapgujarat182,4
267,notiviral,1
268,phunganhhung,1
269,Yougotmae,1
270,LeeLeeTheCat,1
271,juanjosebao,1
272,BethanieCorrie7,1
273,GaynellCharmain,1
274,Classic_Chrome_,1
275,_Ricco_Roper,1
276,Gemini_527,1
277,dnegociaciones,1
278,94KARINHailey86,1
279,maxthomson1986,1
280,nhedoo,1
281,Leamontbel,1
282,jahayrabrns,2
283,Rtpublicity,1
284,Healthytips2016,1
285,McLean_Don,1
286,NAPACASCO,1
287,DGotti__,1
288,chxyxnnxo,1
289,jbearsinclair,1
290,Hey_br0th3r,1
291,BrittniReggie72,1
292,CLERGYY,1
293,Chippo_K,1
294,DaphneLariviere,1
295,Social_Mime,1
296,LenoreAugusta98,1
297,TheRealKoran,1
298,JonathaLeonardo,1
299,CandelarioDylan,1
300,thailandunlimit,1
301,Ruedni__Piutmo,3
302,lovthatgoku,1
303,PoetaPerro,1
304,andirabintang94,18
305,TheMayneeBitch,1
306,LuckyVhl,1
307,LaCulpableVIP,1
308,Nympphia,1
309,NickyJamDice,1
310,LuisSandycal,1
311,lgtimate,1
312,mohit77101,1
313,VolkswagenPost,2
314,EricGhaffar,1
315,Weefacation,1
316,loubyjo,1
317,Reugtu__Ceesce,3
318,larissaponchi,1
319,autobook1,2
320,_CrazySteph,1
321,dubeyprp,1
322,DaysiDenisse73,1
323,TSMaddux,1
324,AurelioTanesha3,1
325,hostileuteruz,1
326,EbayGadgetsUS,1
327,jackmullaney4,1
328,ProfndFinancial,1
329,whit_dale2014,1
330,kekebabyy__,1
331,SPOTNEWSonIG,1
332,UnaIdeaCreativa,1
333,MoneyImHomee,1
334,TenaSharice21,1
335,ShakFrases,1
336,AkuNoHanaTweet1,1
337,JordanStubbs,1
338,MarissaTrevino3,1
339,Flameposts,1
340,TextoPerfecto,1
341,TJMFCOMBO,1
342,ItalStal72,1
343,hirenraval1977,2
344,ashleeyx6,1
345,escuchaaa,1
346,ChicoBrown_,1
347,Milos1389Obilic,1
348,Richykiss,1
349,Top5_ely50,1
350,EndaKrysta21,1
351,hi_im_alexisss,1
352,guapprincess_,1
353,HerodenMark,1
354,ZackaryHeide27,1
355,vkwood,1
356,svetik92,1
357,AlexisMautoneRC,1
358,nastysince98,1
359,EbayGadgetsCA,1
360,BBG__k,1
361,___Dbrownn,1
362,HunterHoltz,1
363,choladominguez,1
364,bobaesponja99,1
365,mthomas44230,1
366,aiconsultingsrl,1
367,Dway_ORC,1
368,MarieMartins31,1
369,asdfghjkl_L0u,1
370,JDog229,1
371,RichelleMargy10,1
372,jennyhkang_,1
373,HeatherBMXer,1
374,teamdelenaXi,1
375,camizoqe4983,1
376,AapNanpura70,2
377,weikzmc,1
378,AlejaGomeez09,1
